University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of York,UOY,Archaeology,Analysing Field Archaeology Data - ARC00021M,20,,"This module will give students a thorough knowledge of the processes of data analysis and interpretation in field archaeology
to bridge the gap between professional and research communities
to acquaint students with the main methods employed in analysing a range of data generated in modern fieldwork
to provide students with a general understanding of diverse approaches to the interpretation of fieldwork evidence and dissemination of results, thus generating the detailed vocational skills required for developing a career in the archaeological profession, whether in the UK or beyond
to develop the students ability to gather and organise information and arguments in a critical and independent manner through writing essays or producing projects
to develop the students presentational skills through the delivery of seminar papers",,,"By the end of the module, students should
understand the planning and management of projects post-excavation
comprehend the analytical potentials of the various classes of information generated by archaeological fieldwork
gain a detailed knowledge of particular techniques of analysis
become aware of the practicalities, and problems, of archiving, publishing and otherwise disseminating the results of archaeological fieldwork
develop transferable skills in group work and oral presentations","Bradley, R (2006) 'The excavation report as a literary genre: the traditional practice in Britain' in World Archaeology 38.4, 664-71
Roskams, S (2001) Excavation",,"Once we have gathered archaeological data in the field what do we do with it? Where does it go? How do we analyse the information? What should archaeological publications look like? Who should store and archive the information and artefacts once we have analysed them? This module will answer these questions and debate the considerable challenges involved. It will give you wide-ranging, advanced practical skills, as well as a deep theoretical knowledge and understanding of archaeology, whatever career you plan to go into. You will learn to think strategically about the analysis and dissemination of field archaeology data.
In recent years, many of the ills of archaeology have been laid at the door of poor management and inadequate forward planning. This module focuses on the relevance of this debate to the post-excavation process, considering these structures and procedures in relation to the analysis of stratigraphic and spatial evidence, and of artefacts and other material. In addition, it discusses the process of synthesis and model building, ending with a discussion of how the information which results can be disseminated to our various audiences, both by computer-based systems and via conventional mechanisms.
It should be stressed that this module is not intended to turn you into an expert on animal bones, pottery etc. What it is intended to do is make you aware of the analytical potential of the diverse data sets generated by fieldwork, the challenges that arise in unlocking that potential and making links between different types of evidence, and the ways this material can be archived and interpretations published to make all outputs accessible to future researchers.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00021M/2021-22,
University of York,UOY,Archaeology,Analysing Historic Buildings - ARC00010M,20,,"To understand buildings archaeology within the context of heritage and conservation practice
To introduce students to the specialised skills required for the archaeological analysis and recording of historic buildings
To introduce students to the assessment of significance and the visual analysis of historic buildings",,,"By the end of the module, students should:
Subject content
Understand the role of buildings archaeology within the context of heritage and conservation practice
Carry out a basic desk-based assessment of an historic building in the UK
Analyse and phase the archaeological sequence of an historic building
Locate and apply dating evidence from relevant historical and documentary sources to the analysis of historic buildings
Academic and graduate skills
Have developed transferrable skills of independent research, written and verbal communication and small group work and visual/verbal presentation
Other learning outcomes (if applicable)
Understand the range of employment opportunities open to students with buildings analysis skills and the inter-relationship of professions within the field","Brittain Caitlin, T 2007 How to Read a Building: interpret a building’s character and style (London: Collins)
Historic England 2015 Understanding Historic Buildings: a Guide to Good Recording Practice 
Morriss, R K 2000 The Archaeology of Buildings (Stroud, Tempus)",,"This module provides a distinctive and engaging introduction to analysing historic buildings, introducing students to the skills of visual analysis, desk-based assessment and research, and knowledge of building structures, materials and architectural history. Drawing on examples and case studies from the UK, it lays the foundations for further study and sets historic buildings analysis in the wider context of the heritage and conservation process. 
Students have said that this module lays the foundation for their studies and employment and that they appreciate the expertise and support of the course tutors.
This module is designed to introduce you to the basics of analysing buildings. We will consider the development of buildings archaeology and the current frameworks within which buildings archaeologists operate, particularly in conservation and heritage. We then go on to address the key approaches and methodologies in buildings archaeology; looking at archival research into buildings history, identifying key sources of secondary and primary sources that underpin both academic and practice-based research. We will familiarise ourselves with current professional guidance on standards and reports, including desk based assessments, historic buildings reports and heritage statements. The module will then go on to introduce you to the basics of analysing buildings, building your understanding of how materials, structures and architectural history can be used to visually analyse a series of case studies through lectures and on site practicals. Many of these issues will come together in our analysis of case studies, many of which are on our doorstep in York and Yorkshire. Throughout the module, you'll build up a good working knowledge of approaches to historic buildings and practice skills of visual analysis, desk based assessment, archive research and group work.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00010M/2021-22,
University of York,UOY,Archaeology,Analysis & Visualisation - ARC00008M,20,,"To introduce the main digital technologies used for the analysis and visualisation of archaeological information, awareness of how the technologies have been applied, and their relative pros and cons.",,,"Knowledge of the development of GIS and computer 3-D modelling in general, with particular knowledge in relation to archaeology and cultural heritage
Knowledge of key GIS, CAD and VR technologies
Understanding of relative advantages and disadvantages of different technologies and applications","Frankland, T. (2012).  A CG artist's impression: Depicting virtual reconstructions using non-photorealistic rendering techniques. In A. Chrysanthi, P.F. Murrieta and C. Papadopoulos (eds) Thinking Beyond the Tool: Archaeological Computing and the Interpretive Process. Oxford: Archaeopress, 24-39.
Jeffrey, S., (2015). Challenging Heritage Visualisation: Beauty, Aura and Democratisation. Open Archaeology, 1(1). Available at: http://www.degruyter.com/view/j/opar.2014.1.issue-1/opar-2015-0008/opar-2015-0008.xml. 
Perry, S. (2014). Crafting knowledge with (digital) visual media in archaeology, in R. Chapman & A. Wylie (eds.) Material Evidence: Learning from Archaeological Practice, London: Routledge, 189-210",,"Analysis and Visualisation examines the theory and methods of digital investigation in archaeology and heritage. The module is taught by academic and industry experts who provide insight into cutting-edge practice in their specific specialties and allows students to debate the merits of these technologies. Students will be challenged to think critically about the use of digital methods and near-future technologies that explore themes grounded in archaeological evidence. 
Analysis and Visualisation is an expert-led tour through traditional and cutting-edge digital technology as it is used to interpret and disseminate archaeological data. Each week focuses on a different method or approach in digital methods and features reading selected from the best of thinking about these methods. Some seminars feature debates, or presentations that examine specific aspects of these methods, and discussions centre around both practical and more creative considerations in creating digital media. We ask: who is the audience for our digital interpretations? Is this the most effective approach? 
This module will not turn you into an expert into any one of these technologies, but should allow you to critically engage with the theory behind digital archaeology and heritage, effectively assess their use and evaluate your interest in improving your skills in the future, whether it is in one of our dedicated skills modules or on your own.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00008M/2021-22,
University of York,UOY,Archaeology,Ancient Biomolecules - ARC00034M,20,,"To provide students with a good understanding of biomolecular preservation in skeletal remains
To provide students with an overview of the very latest methodologies used in biomolecular analysis
To allow students to place biomolecular data in the wider archaeological or palaeoecological context.",,,"Having completed the course you will:
be able to critically evaluate past studies for scientific rigour, cost and knowledge gained
be able to recognise the methodological strengths and limitations of various techniques
be able to recommend applications where biomolecular analysis is likely to be useful
know how to select, conserve and take samples for biomolecular investigations
be able to interpret published data sets","Richards, M.P. and Britton, K. eds., 2020. Archaeological Science: An Introduction. Cambridge University Press.
Cappellini, E. et al. (2018) ‘Ancient Biomolecules and Evolutionary Inference’, Annual Review of Biochemistry, 87, pp. 1029–1060.
Brown, T. A. and Brown, K. (2011) Biomolecular Archaeology: An Introduction. John Wiley & Sons.",,"Studies of ancient biomolecules often dominate bioarchaeological research. This module provides a theoretical background to a range of methods, techniques and applications in the field of ancient biomolecules, including ancient DNA, stable isotope analysis, palaeoproteomics and organic residue analysis. The module will provide a good theoretical basis for anyone interested in pursuing this field at a practical level, and an emphasis will be placed on learning how to evaluate and interpret published research and datasets in the seminar sessions. This module is principally targeted at bioarchaeologists, but will more broadly appeal to anyone who is likely to encounter biomolecular data sets in the course of their research or professional career. Students have said that they enjoy the range of molecular approaches presented in the module and that the staff are enthusiastic about their subjects and explain the topics well.
The eight weeks of the module are designed to give you an understanding of the range of different approaches and applications in the analysis of ancient biomolecules. The first four weeks consist of lectures, with each lecture focused on a different molecular approach including ancient DNA, palaeoproteomics, stable isotope analysis and organic residue analysis. The series of lectures will describe how biomolecules are preserved, extracted and analysed from a range of archaeological materials, including ancient skeletal tissues, in order to complement and enhance information gained from macro and microscopic techniques. Following the lectures, four weeks are dedicated to seminars exploring the archaeological applications of these techniques and how different analyses of ancient biomolecules can complement one another to answer overarching archaeological themes, with a focus on critically assessing published research.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00034M/2021-22,
University of York,UOY,Archaeology,Animal Bones for Archaeologists - ARC00031M,20,,"To provide (a) a detailed introduction to animal bones for the benefit of bioarchaeologists, field archaeologists, and human bones specialists; and (b) a basis for further study in zooarchaeology. 
To give an overview of vertebrate anatomy, including the chemistry, structure, and growth of bone and teeth.
To explain the processes of deposition and decay of animal remains, and how these can be reconstructed (taphonomy and diagenesis). 
To provide students with the tools to make informed decisions about sampling animal remains for a range of purposes.",,,"By the end of the module, students should:
Understand the chemistry, histology, and growth patterns of bones and teeth.
Be familiar with the principles and broad pattern of evolutionary anatomy in vertebrates.
Understand the principles of taphonomy and diagenesis (i.e. bone survival), and be able to recognise their effects in the field and laboratory.
Be able to select suitable samples for biomolecular analyses, microscopic analyses, and scientific dating.","Lyman, R.L. 1994. Vertebrate Taphonomy. Cambridge: Cambridge University Press. Chapters 1, 2, and 4.
Hillson, S. 2005. Teeth. 2nd edn. Cambridge: Cambridge University Press.
Steele, T. 2015. The contributions of animal bones from archaeological sites: the past and future of zooarchaeology. Journal of Archaeological Science 56: 168-176. https://doi.org/10.1016/j.jas.2015.02.036",,"This module is for anyone who wants to know more about the animal bones that comprise one of the most common find types on all periods of archaeological sites across the world – but particularly for those likely to be working with bones in a bioarchaeological or zooarchaeological context. We cover the structure, chemistry, and growth of bone; the basic anatomy of the most archaeologically-important groups of animals; and the processes which govern the survival of bone over time - always paying particular attention to the implications for archaeological analyses.
The eight weeks of the module are designed to lead you through the different topics you need to understand for effective use of animal bones in archaeology. We start by considering what bone is and how it is formed; then move onto how it survives (or doesn't!) and is modified in archaeological contexts - the field of taphonomy. Four weeks are dedicated to exploring how bones and teeth differ between the main archaeologically important groups of vertebrates, from camelids to codfish. Finally, we turn our attention to understanding growth structures and how we can make best use of different hard tissues in bioarchaeology.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00031M/2021-22,
University of York,UOY,Archaeology,Applied Buildings Recording - ARC00071M,5,,"To explore how to select an appropriate level and method of survey for an historic building project
To provide practical training in buildings survey by hand, photography, and instrument
To train students in the production of a survey report to professional standards",Building Recording (ARC00035M),,"Upon completion of this module students should be able to:
Specify an appropriate level of building recording and identify appropriate recording methods
Execute an intermediate level of measured and image-based buildings survey
Produce an intermediate drawn, photographic, and digital record of a building
Produce a drawn record to professional standards",Reading lists are published to the module web pages or VLE.,,,,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00071M/2021-22,
University of York,UOY,Archaeology,Approaches to Conservation - ARC00014M,20,,"to introduce the key principles and approaches in conservation of the built heritage and the ethics and philosophies which underlie them
to provide an understanding of how these approaches and principles have developed and are applied in practice
to develop research, analytical and presentation skills",,,"By the end of the module, students should
have a critical understanding of how and why the concept of cultural heritage and its conservation has evolved and is applied in contemporary practice
have a thorough knowledge of the historical background to heritage conservation practices, the range of philosophical approaches and their relevance
be able to critically evaluate the conservation plan approach and apply the processes of determining values and significance for built cultural heritage in context
have enhanced their skills in small group work and visual / verbal presentation","Avrami, E, Macdonald, S, Mason, R and Myers, D. (2019). Values in Heritage Management: Emerging Approaches and Research Directions. Getty Conservation Institute. 
Historic England (2008) Conservation Principles, Policies and Guidance [online]
Jokilehto, J (2017) A History of Architectural Conservation, London, Routledge",,"This module introduces you to the background, concepts and principles of contemporary conservation practice and to the values-based approaches now commonly applied in managing conservation planning and decision-making. It encourages you to engage critically and creatively with conservation as professional practice in an inclusive and multicultural world -  and to explore York’s rich urban heritage!
Students have said they love studying the history of conservation, gaining an understanding of how practice has changed over time and applying this in the context of current conservation planning.
In this module we consider the history and contemporary practice of conservation for built heritage, looking critically at how conservation has developed with changing ideas about material, intangible and socio-economic values of heritage.  In group work and in module assessments, you will critique and apply value-based approaches to conservation management using local building case studies. The English planning framework is used as a practice model for this work but you are encouraged to contextualise this with other national / international frameworks and principles and consider how these are reflected in global shifts in approaches to conservation.  Through this module you will approach historic buildings and areas differently and develop a complex understanding of how conservation today is engaged with a diversity of heritage assets, actors, interpretations and audiences.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00014M/2021-22,
University of York,UOY,Archaeology,Archaeological Excavation - ARC00003C,20,,"This first-year module is designed to: 
introduce students to all aspects of archaeological excavation
provide hands-on experience of field work and post-excavation practices",,,"What a student should know, understand, or be able to do at the end of the module
By the end of this module, students should be able to:
Understand and apply excavation techniques
Record archaeological context data under supervision
Understand the process and recording of stratification
Understand the process of environmental sampling processing, and sorting
Recognise, sort and care for artefacts
Process field records from excavation work
Participate and co-operate in team-based work
Understand what is required in the world of work including good attendance and punctuality
Communicate ideas through visual media, developed through production of a PowerPoint poster","Drewett, P (1999)  Field Archaeology: an introduction  (gives the basics, esp. Chs 4 and 7, plus Ch.8 on post-excavation matters)
Harris, E (1989) Principles of Archaeological Stratigraphy (Chs. 3 and, especially, Ch.5)
Lucas, G (2001)  Critical Approaches to Fieldwork (esp. Ch.1 for history, plus the rest for a more theoretical positioning than Drewett)
Detailed reading for the module will be available via YorkShare (the University's virtual learning environment). When you have enrolled on a module, you will be able to access the full reading list.
 ",,"Excavation is, for many people, the defining activity of archaeology and this module uses hands-on work to introduce you to all aspects of collecting, analysing and communicating fieldwork data. All of our excavation projects are driven by research questions and have resulted in substantial publications which have transformed our understanding of the Yorkshire region from the Mesolithic period right up to the modern day. The excavation experience is looked forward to by many students and is often the thing they most remember from their degree – not just for the technical understanding gained, but for the lasting friendships made.
This module is structured around a combination of introductory lectures, then hands-on experience on a designated departmental project, finishing with post-excavation work and an exhibition. In this way, it introduces you to all aspects of assessing, collecting and analysing primary excavation data, for many people the defining archaeological method (although it is really just one part of that whole).
In this way, we hope you will be able to appreciate how the process of reconnaissance and evaluation allows the development of an excavation strategy, and to understand the main excavation techniques, including recording archaeological features and associated stratification and taking environmental samples. Finally, after the excavation has finished, you will gain a grasp of how artefacts are sorted and cared for, environmental samples are processed and sorted, and the records made in the field checked.
This excavation element is looked forward and enjoyed by most students, something that many look back on fondly long after their degree has ended. Yet our excavations always involve a strong research element - we never excavate a site just for the sake of training students. So you will be involved in a project which will make a real contribution to our understanding of the past, and will help different audiences gain understanding of ‘their heritage’ into the bargain. For many of you this will be a voyage of discovery, of finding new evidence, trying new techniques and discovering new things, both about the past and, often, yourself.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00003C/2021-22,
University of York,UOY,Archaeology,Archaeological Theory - ARC00005C,20,,"This module aims:
to introduce students to the development of key strands of archaeological thought from the nineteenth century to the present
to provide students with a critical understanding of the development of the discipline of archaeology world-wide 
to provide a basis for a critical appreciation of current archaeological practice and theory",,,"By the end of the module, students should:
appreciate that all archaeologists apply theoretical principles to their work, consciously and unconsciously
recognise that interpretations of data may differ because of the theoretical positions of archaeologists
have a basic understanding of the principles and applications of Culture history, Processualism, Marxism, Structuralism, Postprocessualism and various other critical approaches and be able to place their development and application within a historical, political, international context
begin to appreciate the links between theory and practice and to understand how the wider social and political context of archaeology has influenced the development of the various theoretical positions within the discipline
understand the role of British archaeology in the development of the discipline world wide and to recognise the influences of other regional archaeologies on the development of theoretical debates within the wider discipline
begin to appreciate which theoretical positions they feel are most appropriate for their own studies, and which relate to their wider world view
learn to work in small teams to produce seminar output, and improve their oral presentation and argument skills within the seminars","Johnson, Matthew (1999) Archaeological Theory : An Introduction. Oxford: Blackwell.
Harris, Oliver J. T, and Cipolla, Craig N. (2017) Archaeological Theory in the New Millennium. 1st ed. London: Routledge.
Trigger, Bruce G. (2006) A History of Archaeological Thought. West Nyack: Cambridge UP.
Detailed reading for the module will be available via YorkShare (the University's virtual learning environment). When you have enrolled on a module, you will be able to access the full reading list.",,"The study of the past is inherently theory laden and always political. We are subject to biases from our own social and cultural perspectives, which can influence how we view and react to archaeological interpretations and practice. This module sets the scene for developing essential critical analytical skills by challenging you to think about how our philosophies and experiences shape the questions we ask of the past. Everyone takes something meaningful from this module - and many students have come back in later years of their degree and affirmed they could not possibly have predicted the huge value of the concepts and ideas they learned in this first year module.
The module will introduce students to a range of theoretical debates and, through reading a combination of textbooks and original papers, students are exposed to the emphases, terminology and assumptions behind the various theoretical movements as applied to archaeology. Analysis of case studies, drawn from a range of regions around the world, will be utilised to help explain the development and application of various theoretical approaches. Case studies will be used to illustrate the impact of theoretical developments on archaeological practice and the subsequent implications this had for the development of the discipline both regionally and world wide.
The course will be broadly structured by the big themes that dominate archaeological discourse and will demonstrate the importance of theory to every aspect of our understanding of the past, our disciplinary practice and the way we disseminate the past to our audiences. We will shine a light on the political implications of the theoretical context of our research, and consider the paradox that theory we use and the knowledge we create on one hand embodies implicit and inherent power structures and hierarchies, which we seek to dismantle in on the other hand with the very same theory.
Content warning: The content and discussion in this course will necessarily engage with issues relating to post-colonialism, racism and various political discourse.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00005C/2021-22,
University of York,UOY,Archaeology,Artefacts & Materials - ARC00002C,20,,"This module will introduce:
the varied sources of data that allow archaeologists to study the past
the diverse methods and approaches that they may use to do so.
It will foster familiarity with the main sources of evidence and techniques of analysis associated with the study of landscapes, environments, sites, buildings, artefacts, and populations. It will also facilitate development of a range of important skills, including oral and written communication, critical analysis, and synthesis",,,"By the end of this module, students should be able to:
describe the characteristics of archaeological data generated by particular kinds of site or forms of material culture
explain the methods by which different forms of archaeological data are studied by archaeologists
select, synthesise and present archaeological data orally and in written seminar papers
appraise and debate archaeological data presented to you by others","Gosden, C. and Marshall, Y. (1999) The cultural biography of objects, World Archaeology 31(2), 169-178.
Johnson, M. (2020) Chapter 8: The Material Turn. Archaeological Theory An Introduction (Third Edition), pp. 132-155. UK: Wiley Blackwell.
Joy, J. (2009) Reinvigorating object biography: reproducing the drama of object lives. World Archaeology 41(4), 540-556.
Detailed reading for the module will be available via YorkShare (the University's virtual learning environment). When you have enrolled on a module, you will be able to access the full reading list.",,"The course introduces you to a core aspect of the archaeological record: artefacts. The course balances the theoretical and the practical, encouraging deep discussion through seminar participation, and critical reflection through artefact handling and making at our dedicated outdoor experimental archaeological facility. Students who have previously studied the course have said:
“The hands-on aspects in the YEAR centre was something new and thought provoking which allowed a greater understanding of the module. It also added a greater depth of involvement and fun which made the module very enjoyable.”
“It was really fun, interesting and interactive. I liked the hands-on aspects and that there was a practical element to the module, as well as the theory. The teaching was engaging, and I've found the content very interesting.”
“I have found I am able to apply the knowledge and thoughts I have gained from this module to my other modules, and it has also helped me to consider a different approach to the objects around me.”
Artefacts and Materials is a module which introduces you to how we actually do archaeology. Although all archaeologists are interested in the people of the past and their material culture, they draw on a diverse and exciting range of sources in their research.
The module consists of a series of seminar-workshops and site visits, taught by academic staff and other researchers in the department (postgraduate students who teach). This module is designed to introduce you to the different ways in which archaeologists study the past, and the different sources of archaeological data which they use to do so.
Each seminar-workshop introduces you to the nature of the archaeological evidence for a particular type of archaeological site or subject and the ways in which archaeologists have interpreted such data. Examples are drawn from both Prehistoric and Historical archaeology in the British Isles and overseas, and the sources we use include broad syntheses and surveys, as well as excavation and finds reports. You will have the opportunity to work with real archaeological objects and sources, and to make short group presentations to the class.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00002C/2021-22,
